연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
81,사실에 부합하는 진술(경찰),경찰에게 어떤 일이 있었는지 이야기한 것이 실제 사건 내용과 같다.,,사실에 부합하는 진술 (경찰),-
,,,그림,,
,사실에 부합하는 진술(검찰),검사에게 어떤 일이 있었는지 이야기한 것이 실제 사건 내용과 같다.,,사실에 부합하는 진술 (검찰),
82,,,,,-
,,,그림,,
83,진술과 증거 일치,"맞았다고 진술한 내용과 실제 상처 사진, 상해진단서의 내용이 같다.",,진술과 증거 일치,"사진, 상해, 진단서, 같다"
,,,그림,,
,,,,사실에 부합하는 진술,
84,사실에 부합하는 진술,맞았다고 진술한 내용이 실제 사실과 같다.,,,사실
,,,그림,,
85,사진에 부합하는 상해 사진,상해 사진이 실제 사실과 같다.,,사진에 부합하는 상해 사진,사실
,,,그림,,
,,,,,
86,사진에 부합하는 진단서,진단서가 실제 사실과 같다.,,사진에 부합하는 진단서,사실
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
87,같다,-,,같다,일치
,,,그림,,
88,전문진술,증인은 피고인으로부터 같은 말을 들었다고 했다.,,전문진술 (피고인 발언 내용),"증인, 경찰"
,(피고인 발언 내용),,,,
,,,그림,"유리한 정상(동종 전과 없음, 보이스 피싱)",
89,동종 사기 전과가 없다.,이전에 보이스피싱 범죄를 저지른 적이 없다.,,,"은행, 금전"
,,이전에 횡령죄를 저지른 적이 없다.,그림,"유리한 정상(동종 전과 없음, 횡령)",
90,동종 횡령 전과가 없다.,*횡령죄 : 다른 사람의 재산을 관리하는 사람이 몰래 재산을 빼돌리는 것,,,"공금, 금전"
,,,그림,"유리한 정상(동종 전과 없음, 강도)",
91,동종 강도 전과가 없다.,이전에 강도짓을 한 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 폭행, 발로 밟다)",
92,동종 폭행 전과가 없다.,이전에 다른 사람을 때린 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 폭행, 음료를 뿌리다)",
93,동종 폭행 전과가 없다.,이전에 다른 사람에게 음료를 뿌린 적이 없다.,,,-
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 폭행, 욕하다)",
94,동종 폭행 전과가 없다.,이전에 다른 사람에게 욕을 한 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 스토킹, 사진 촬영)",
95,동종 스토킹 전과가 없다.,이전에도 몰래 사진을 찍으며 스토킹을 한 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 스토킹, 따라다님)",
,동종 스토킹 전과가 없다.,이전에도 계속 따라다니며 스토킹을 한 적이 없다.,,,
96,,,,,-
,,,그림,"유리한 정상(동종 전과 없음, 스토킹, 연락)",
97,동종 스토킹 전과가 없다.,이전에도 계속 연락을 하며 스토킹을 한 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 성착취)",
98,동종 성착취 전과가 없다.,이전에 다른 사람을 성적으로 괴롭힌 적이 없다.,,,-
